Roll,Name,Email
1401CB50,Neelesh,Neelesh@mycollege.in
1401CE45,Aviral,Aviral@mycollege.in
1401CH44,Danish,Danish@mycollege.in
1401CS44,Madhav,Madhav@mycollege.in
1401CT44,Shrishti,Shrishti@mycollege.in
1401EC43,Hartesh,Hartesh@mycollege.in
1401MC43,Mrityunjay,Mrityunjay@mycollege.in
1401MM43,Bibhu,Bibhu@mycollege.in
1401MT43,Shreyans,Shreyans@mycollege.in
1401CE46,Abdul,Abdul@mycollege.in
1401CH45,Tamanna,Tamanna@mycollege.in
1401CS45,Divyam,Divyam@mycollege.in
1401CT45,Amrit,Amrit@mycollege.in
1401EC44,Mrithyunjay,Mrithyunjay@mycollege.in
1401MC44,Kavish,Kavish@mycollege.in
1401MM44,Chirayu,Chirayu@mycollege.in
1401MT44,Manaswini,Manaswini@mycollege.in
1401CE47,Sumeet,Sumeet@mycollege.in
1401CH46,Unnati,Unnati@mycollege.in
1401CS46,Kirti,Kirti@mycollege.in
1401CT46,Arman,Arman@mycollege.in
1401EC45,Nishtha,Nishtha@mycollege.in
1401MC45,Monica,Monica@mycollege.in
1401MM45,Sameeksha,Sameeksha@mycollege.in
1401MT45,Neelu,Neelu@mycollege.in
1401CE48,Prerna,Prerna@mycollege.in
1401CH47,Sachin,Sachin@mycollege.in
1401CS47,Annanya,Annanya@mycollege.in
1401CT47,Archana,Archana@mycollege.in
1401EC46,Dilip,Dilip@mycollege.in
1401MC46,Sabareesh,Sabareesh@mycollege.in
1401MM46,Ashmita,Ashmita@mycollege.in
1401MT46,Mukund,Mukund@mycollege.in
1401CE49,Nupur,Nupur@mycollege.in
1401CH48,Anupam,Anupam@mycollege.in
1401CS48,Arunima,Arunima@mycollege.in
1401CT48,Avanish,Avanish@mycollege.in
1401EC47,Ramanakanth,Ramanakanth@mycollege.in
1401MC47,Lakshmi,Lakshmi@mycollege.in
1401MM47,Chhavi,Chhavi@mycollege.in
1401MT47,Eshma,Eshma@mycollege.in
1401CE50,Neha,Neha@mycollege.in
1401CH49,Shailesh,Shailesh@mycollege.in
1401CS49,Niteesh,Niteesh@mycollege.in
1401CT49,Yusuf,Yusuf@mycollege.in
1401EC48,Durgesh,Durgesh@mycollege.in
1401MC48,Love,Love@mycollege.in
1401MM48,Shreepriya,Shreepriya@mycollege.in
1401MT48,Aruba,Aruba@mycollege.in
1401CE51,Vikas,Vikas@mycollege.in
1401CH50,Shoaib,Shoaib@mycollege.in
1401CS50,Nithisha,Nithisha@mycollege.in
1401CT50,Anubhav,Anubhav@mycollege.in
1401EC49,Dipa,Dipa@mycollege.in
1401MC49,Lekhraj,Lekhraj@mycollege.in
1401MM49,Nahid,Nahid@mycollege.in
1401MT49,Ehtisham,Ehtisham@mycollege.in
1401CE52,Vanshika,Vanshika@mycollege.in
1401CH51,Vishnu,Vishnu@mycollege.in
1401CS51,Sandhya,Sandhya@mycollege.in
1401CT51,Anita,Anita@mycollege.in
1401EC50,Rohith,Rohith@mycollege.in
