Roll,Name,Email
1401AI43,Sakshi,Sakshi@mycollege.in
1401CB43,Sneha,Sneha@mycollege.in
1401CE38,Vikash,Vikash@mycollege.in
1401CH37,Anil,Anil@mycollege.in
1401CS37,Aakriti,Aakriti@mycollege.in
1401CT37,Vandana,Vandana@mycollege.in
1401EC37,Jahnavi,Jahnavi@mycollege.in
1401MC37,Raju,Raju@mycollege.in
1401MM37,Rupanjali,Rupanjali@mycollege.in
1401MT37,Rishit,Rishit@mycollege.in
1401AI44,Shivani,Shivani@mycollege.in
1401CB44,Pranjal,Pranjal@mycollege.in
1401CE39,Aayush,Aayush@mycollege.in
1401CH38,Mahendra,Mahendra@mycollege.in
1401CS38,Abhyuday,Abhyuday@mycollege.in
1401CT38,Tanishq,Tanishq@mycollege.in
1401EC38,Jahanvi,Jahanvi@mycollege.in
1401MC38,Rajiv,Rajiv@mycollege.in
1401MM38,Rupeshwary,Rupeshwary@mycollege.in
1401MT38,Meenu,Meenu@mycollege.in
1401AI45,Prakhar,Prakhar@mycollege.in
1401CB45,Isha,Isha@mycollege.in
1401CE40,Akhilesh,Akhilesh@mycollege.in
1401CH39,Ahmad,Ahmad@mycollege.in
1401CS39,Akarsh,Akarsh@mycollege.in
1401CT39,Amaan,Amaan@mycollege.in
1401EC39,Kamran,Kamran@mycollege.in
1401MC39,Rajkumar,Rajkumar@mycollege.in
1401MM39,Brahmaputra,Brahmaputra@mycollege.in
1401MT39,Ranjan,Ranjan@mycollege.in
1401CB46,Sumit,Sumit@mycollege.in
1401CE41,Nitin,Nitin@mycollege.in
1401CH40,Shalini,Shalini@mycollege.in
1401CS40,Navneet,Navneet@mycollege.in
1401CT40,Yuvraj,Yuvraj@mycollege.in
1401EC40,Kamini,Kamini@mycollege.in
1401MC40,Pushkar,Pushkar@mycollege.in
1401MM40,Hariharan,Hariharan@mycollege.in
1401MT40,Shukant,Shukant@mycollege.in
1401CB47,Kishan,Kishan@mycollege.in
1401CE42,Himani,Himani@mycollege.in
1401CH41,Abhijit,Abhijit@mycollege.in
1401CS41,Om,Om@mycollege.in
1401CT41,Saurav,Saurav@mycollege.in
1401EC41,Rana,Rana@mycollege.in
1401MC41,Asutosh,Asutosh@mycollege.in
1401MM41,Pranav,Pranav@mycollege.in
1401MT41,Jashveer,Jashveer@mycollege.in
1401CB48,Pawan,Pawan@mycollege.in
1401CE43,Sushil,Sushil@mycollege.in
1401CH42,Suyash,Suyash@mycollege.in
1401CS42,Swapnil,Swapnil@mycollege.in
1401CT42,Sanjeev,Sanjeev@mycollege.in
1401EC42,Sidhi,Sidhi@mycollege.in
1401MC42,Pradip,Pradip@mycollege.in
1401MM42,Babu,Babu@mycollege.in
1401MT42,Nargis,Nargis@mycollege.in
1401CB49,Soumya,Soumya@mycollege.in
1401CE44,Vartika,Vartika@mycollege.in
1401CH43,Sanskriti,Sanskriti@mycollege.in
1401CS43,Akhil,Akhil@mycollege.in
1401CT43,Simaran,Simaran@mycollege.in
